慶應高校　　　　  Weekly Menu,,,,,,,,,,,,,,,,,,
Category,10/15,,10/16,,10/17,,10/18,,10/19,,,,,,,,,
Lunch,チーズメンチカツ,￥410\n\n食塩相当量,韓国風\n鶏唐揚げ,\410\n\n食塩相当量,チキンフリッター,\410\n\n食塩相当量,チキンカツ,\440\n\n食塩相当量,唐揚げ\nおろし和え,\440\n\n食塩相当量,,,,,,,,
,1008kcal,3.7g,877kcal,3.9g,1022kcal,4.1g,907kcal,2.6g,830kcal,3.7g,,,,,,,,
RiceBowl,鶏照焼丼,\440\n\n食塩相当量,ネギ塩豚カルビ丼,\440\n\n食塩相当量,ハンバーグハヤシ,\440\n\n食塩相当量,鶏丼,\440\n\n食塩相当量,とろり温玉\nビビンバ,\440\n\n食塩相当量,,,,,,,,
,953kcal,4.8g,795kcal,5.2g,948kcal,6.4g,909kcal,5.8g,765kcal,4.5g,,,,,,,,
Athlete set,水餃子\n&棒棒鶏,￥460\n\n食塩相当量,チキンのトマト煮\n&カボチャサラダ,￥460\n\n食塩相当量,クリスピーチキン\n＆小松菜の胡麻和え,￥460\n\n食塩相当量,肉絲炒飯\n＆杏仁豆腐,￥460\n\n食塩相当量,ﾁｰｽﾞｴｯｸﾞﾊﾝﾊﾞｰｸﾞ\n＆ｼﾞｬｰﾏﾝｶﾎﾞﾁｬ,￥460\n\n食塩相当量,,,,,,,,
,691kcal,5.8g,956kcal,4.1g,1061kcal,3.3g,874kcal,4.7g,910kcal,5g,,,,,,,,
Fried chicken\nset,変わらないおいしさ！定番の　鶏唐揚げ定食　　　￥460\n\n950kcal 　　 塩分3.0ｇ,,,,,,,,,,,,,,,,,
Curry,カレー　￥330　　温玉カレー・コロッケカレー　￥380\nカツカレー・からあげカレー　￥410,,,,,,,,,,,,,,,,,
Noodles,,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,,
